iter	MultiClass
0	0.858440367
1	0.7381374236
2	0.6681324177
3	0.602077381
4	0.5544477571
5	0.521710329
6	0.482897545
7	0.4594454664
8	0.4393258277
9	0.4156240896
10	0.4082101771
11	0.3920097007
12	0.3690047439
13	0.3517525217
14	0.3374537705
15	0.3245407556
16	0.3129270079
17	0.3028320806
18	0.290163149
19	0.2800871807
20	0.2667832661
21	0.2586910711
22	0.2529458507
23	0.2438181801
24	0.2391095609
25	0.2308500469
26	0.2241668772
27	0.2198635118
28	0.2111802834
29	0.2056596977
30	0.197824381
31	0.1941585058
32	0.1892408987
33	0.1835903193
34	0.1790928056
35	0.173927552
36	0.1698531325
37	0.165485699
38	0.16101148
39	0.1556105272
40	0.1505572885
41	0.148734237
42	0.1421747865
43	0.1383385549
44	0.1347025002
45	0.1305154121
46	0.1274727922
47	0.1246736568
48	0.1205287334
49	0.1162114043
50	0.1147032065
51	0.113128522
52	0.1103228419
53	0.108417465
54	0.1053693732
55	0.1025268734
56	0.1010785313
57	0.09835705317
58	0.09612974936
59	0.09417669179
60	0.09166750314
61	0.08944566828
62	0.0881158569
63	0.08752300151
64	0.08669224449
65	0.08467286459
66	0.08235551822
67	0.08156135401
68	0.08070836771
69	0.07958104976
70	0.07847538877
71	0.07742130513
72	0.07595481151
73	0.07505201417
74	0.07342219263
75	0.07243580796
76	0.07025289973
77	0.0689358409
78	0.06794282117
79	0.06737179203
80	0.06614396634
81	0.06561987054
82	0.06431405127
83	0.06317926812
84	0.06172498684
85	0.06072839469
86	0.06010669266
87	0.05923826021
88	0.05769360918
89	0.05670880788
90	0.05589283371
91	0.05515604235
92	0.05396094076
93	0.05333814385
94	0.05289304061
95	0.05199472645
96	0.05131072573
97	0.05066052012
98	0.05008961398
99	0.04948576235
