iter	Passed	Remaining
0	46	4616
1	47	2310
2	47	1541
3	48	1158
4	48	925
5	49	771
6	49	660
7	54	626
8	55	558
9	55	501
10	56	456
11	56	417
12	57	384
13	57	356
14	58	331
15	59	309
16	59	290
17	60	273
18	60	258
19	61	244
20	61	231
21	62	219
22	62	209
23	63	200
24	63	191
25	64	184
26	65	176
27	65	169
28	66	162
29	66	156
30	67	149
31	67	144
32	68	138
33	68	133
34	69	129
35	70	124
36	70	120
37	71	116
38	71	112
39	72	108
40	72	104
41	73	101
42	73	98
43	74	94
44	75	91
45	75	88
46	76	86
47	76	83
48	77	80
49	78	78
50	78	75
51	79	73
52	79	70
53	80	68
54	81	66
55	81	64
56	82	62
57	83	60
58	83	58
59	84	56
60	84	54
61	85	52
62	85	50
63	86	48
64	86	46
65	87	45
66	87	43
67	88	41
68	88	39
69	89	38
70	90	36
71	90	35
72	91	33
73	92	32
74	92	30
75	93	29
76	93	27
77	93	26
78	94	25
79	94	23
80	95	22
81	96	21
82	96	19
83	97	18
84	97	17
85	98	16
86	99	14
87	99	13
88	100	12
89	100	11
90	101	9
91	101	8
92	102	7
93	102	6
94	103	5
95	103	4
96	104	3
97	104	2
98	105	1
99	105	0
